year,kospi,kosdaq,goldprice
20180531,2423.01,879.66,174500
20180601,2438.96,883.22,174000
20180602,2447.76,877.44,173000
20180603,2453.76,877.16,172000
20180604,2470.58,887.91,172000
20180605,2451.58,878.48,172000
20180606,2470.15,876.55,171000
20180607,2468.83,875.04,171000
20180608,2423.48,864.56,171000
20180609,2404.04,866.22,171000
20180610,2376.24,840.23,171500
20180611,2340.11,815.39,172000
20180612,2363.91,840.17,173000
20180613,2337.83,826.22,175000
20180614,2357.22,830.27,174500
20180615,2357.88,836,174500
20180616,2350.92,831.4,175500
20180617,2342.03,826.69,175000
20180618,2314.24,810.2,174500
20180619,2326.13,818.22,173500
20180620,2271.54,789.82,173500
20180621,2272.76,795.71,173500
20180622,2265.46,799.1,173500
20180623,2257.55,794.05,173000
20180624,2272.87,808.89,173000
20180625,2285.8,808.28,172500
20180626,2294.16,813.19,172500
20180627,2280.62,804.78,172500
20180628,2285.06,819.29,172000
20180629,2310.9,827.89,173000
20180630,2301.99,825.71,173000
20180701,2297.92,819.72,173000
20180702,2290.11,810.44,173000
20180703,2282.29,796.49,172500
20180704,2289.19,791.61,172500
20180705,2269.31,756.96,173000
20180706,2280.2,761.57,173000
20180707,2273.03,748.89,173000
20180708,2289.06,765.15,173000
20180709,2294.99,773.98,173000
20180710,2293.51,769.8,172500
20180711,2295.26,775.52,172000
20180712,2307.07,790.25,172500
20180713,2270.2,781.38,172500
20180714,2287.68,788.81,172500
20180715,2286.5,781.41,172500
20180716,2300.16,784.7,172500
20180717,2301.45,783.81,172500
20180718,2303.71,789.48,172500
20180719,2282.79,784.81,172500
20180720,2248.45,755.65,172000
20180721,2258.91,761.94,171500
20180722,2240.8,761.18,171500
20180723,2247.05,772.3,171500
20180724,2247.88,769.78,171500
20180725,2270.06,787.15,171500
20180726,2273.33,785.95,171000
20180727,2282.6,791.28,171000
20180728,2293.21,798.23,171000
20180729,2299.3,801.04,172000
20180730,2303.12,798.17,172000
20180731,2309.03,803.18,172000
20180801,2307.35,804.47,171000
20180802,2322.88,816.97,171000
20180803,2307.03,816.84,169500
20180804,2315.72,827.27,169500
20180805,2291.77,820,169500
20180806,2287.61,815.18,170000
20180807,2281.58,818.86,170500
20180808,2288.66,816.16,171500
20180809,2283.2,820.23,172000
20180810,2282.92,826.33,172000
20180811,2286.23,830.95,172000
20180812,2318.25,834.91,172000
20180813,2303.01,828.88,172000
20180814,2308.98,831.85,171500
20180815,2308.46,826.91,171000
20180816,2323.45,821.13,171000
20180817,2339.17,827.84,171000
20180818,2355.43,833.01,171000
