,date,close,diff,open,high,low,volume
4990,2021-07-16,828000,10000,820000,828000,818000,215077
4991,2021-07-15,818000,26000,844000,846000,817000,371147
4992,2021-07-14,844000,4000,846000,858000,837000,235349
4993,2021-07-13,840000,9000,860000,860000,840000,160012
4994,2021-07-12,849000,16000,842000,849000,833000,151667
4995,2021-07-09,833000,26000,859000,865000,830000,277158
4996,2021-07-08,859000,13000,873000,873000,854000,220628
4997,2021-07-07,872000,1000,880000,880000,866000,139395
4998,2021-07-06,873000,3000,874000,874000,863000,156056
4999,2021-07-05,870000,21000,856000,875000,851000,221078
4980,2021-07-02,849000,4000,850000,856000,845000,132383
4981,2021-07-01,845000,5000,851000,870000,843000,327945
4982,2021-06-30,850000,11000,848000,863000,841000,309353
4983,2021-06-29,839000,9000,840000,840000,830000,196036
4984,2021-06-28,830000,8000,838000,839000,830000,89725
4985,2021-06-25,838000,7000,841000,849000,835000,199611
4986,2021-06-24,831000,4000,837000,839000,827000,188866
4987,2021-06-23,835000,7000,846000,846000,825000,220075
4988,2021-06-22,842000,20000,825000,844000,824000,243411
4989,2021-06-21,822000,0,812000,826000,807000,144762
4970,2021-06-18,822000,13000,835000,840000,821000,252978
4971,2021-06-17,835000,27000,819000,840000,815000,467626
4972,2021-06-16,808000,12000,820000,820000,806000,297754
4973,2021-06-15,820000,7000,834000,841000,817000,256471
4974,2021-06-14,827000,23000,841000,842000,824000,220818
4975,2021-06-11,850000,43000,809000,850000,807000,507734
4976,2021-06-10,807000,5000,803000,808000,795000,288927
4977,2021-06-09,802000,6000,807000,810000,801000,147055
4978,2021-06-08,808000,6000,812000,814000,806000,196826
4979,2021-06-07,814000,5000,813000,819000,808000,188145
4960,2021-06-04,809000,3000,810000,810000,803000,245210
4961,2021-06-03,812000,5000,807000,818000,803000,264741
4962,2021-06-02,807000,18000,826000,826000,805000,322361
4963,2021-06-01,825000,6000,818000,830000,818000,175369
4964,2021-05-31,819000,13000,831000,831000,811000,265930
4965,2021-05-28,832000,29000,813000,835000,809000,409642
4966,2021-05-27,803000,29000,824000,825000,791000,938480
4967,2021-05-26,832000,60000,880000,880000,832000,760533
4968,2021-05-25,892000,0,897000,907000,889000,164647
4969,2021-05-24,892000,2000,894000,901000,882000,150518
4950,2021-05-21,894000,9000,913000,915000,881000,228349
4951,2021-05-20,903000,22000,915000,915000,887000,318001
4952,2021-05-18,881000,21000,868000,889000,865000,185804
4953,2021-05-17,860000,6000,862000,867000,854000,126099
4954,2021-05-14,854000,4000,852000,865000,846000,218492
4955,2021-05-13,850000,13000,848000,858000,843000,299954
4956,2021-05-12,863000,48000,912000,913000,860000,494315
4957,2021-05-11,911000,1000,912000,922000,905000,327452
4958,2021-05-10,912000,7000,930000,931000,908000,214715
4959,2021-05-07,919000,19000,938000,941000,919000,221711
4940,2021-05-06,938000,18000,915000,939000,911000,330040
4941,2021-05-04,920000,13000,905000,927000,895000,297052
4942,2021-05-03,907000,25000,935000,935000,899000,344795
4943,2021-04-30,932000,19000,950000,950000,918000,657252
4944,2021-04-29,951000,61000,915000,965000,913000,1405704
4945,2021-04-28,890000,1000,890000,895000,873000,341070
4946,2021-04-27,891000,8000,891000,903000,886000,404010
4947,2021-04-26,883000,9000,880000,885000,865000,219608
4948,2021-04-23,874000,3000,877000,879000,855000,210739
4949,2021-04-22,871000,7000,872000,881000,867000,201220
4930,2021-04-21,864000,29000,884000,889000,864000,361883
4931,2021-04-20,893000,12000,884000,895000,882000,232900
4932,2021-04-19,881000,16000,903000,904000,881000,268880
4933,2021-04-16,897000,6000,897000,910000,891000,271425
4934,2021-04-15,891000,6000,898000,898000,881000,299044
4935,2021-04-14,897000,29000,892000,899000,871000,555279
4936,2021-04-13,868000,51000,825000,875000,822000,713786
4937,2021-04-12,817000,5000,845000,845000,816000,485379
4938,2021-04-09,812000,2000,814000,816000,804000,376621
4939,2021-04-08,810000,1000,811000,814000,803000,288954
4920,2021-04-07,811000,1000,815000,836000,808000,279211
4921,2021-04-06,812000,5000,821000,822000,801000,265899
4922,2021-04-05,817000,11000,828000,835000,815000,188784
4923,2021-04-02,828000,9000,830000,833000,822000,283958
4924,2021-04-01,819000,14000,817000,822000,811000,361295
4925,2021-03-31,805000,3000,823000,826000,805000,374401
4926,2021-03-30,808000,9000,802000,816000,788000,372673
4927,2021-03-29,799000,3000,805000,812000,791000,275352
4928,2021-03-26,802000,14000,795000,806000,781000,624049
4929,2021-03-25,788000,4000,800000,805000,782000,530883
4910,2021-03-24,784000,9000,771000,792000,770000,506234
4911,2021-03-23,775000,30000,809000,814000,774000,727322
4912,2021-03-22,805000,25000,826000,828000,796000,595899
4913,2021-03-19,830000,31000,840000,846000,829000,537750
4914,2021-03-18,861000,4000,865000,875000,857000,554558
4915,2021-03-17,857000,34000,881000,882000,843000,780786
4916,2021-03-16,891000,75000,917000,935000,885000,941008
4917,2021-03-15,966000,22000,960000,975000,948000,336241
4918,2021-03-12,944000,5000,962000,963000,940000,255668
4919,2021-03-11,939000,48000,907000,943000,895000,601480
4900,2021-03-10,891000,30000,910000,914000,886000,364520
4901,2021-03-09,861000,29000,888000,890000,850000,436628
4902,2021-03-08,890000,14000,911000,915000,889000,289075
4903,2021-03-05,904000,39000,853000,922000,853000,548940
4904,2021-03-04,865000,5000,870000,876000,855000,348607
4905,2021-03-03,870000,21000,883000,894000,863000,416803
4906,2021-03-02,891000,60000,863000,905000,857000,697301
4907,2021-02-26,831000,59000,865000,867000,825000,656689
4908,2021-02-25,890000,30000,867000,890000,866000,451276
4909,2021-02-24,860000,25000,875000,894000,860000,452597
4890,2021-02-23,885000,31000,901000,905000,882000,522075
4891,2021-02-22,916000,25000,943000,944000,905000,450568
4892,2021-02-19,941000,2000,939000,956000,938000,255628
4893,2021-02-18,939000,18000,954000,960000,939000,350635
4894,2021-02-17,957000,21000,987000,987000,955000,335846
4895,2021-02-16,978000,12000,992000,992000,973000,214557
4896,2021-02-15,990000,30000,1008000,1010000,984000,450962
4897,2021-02-10,960000,13000,982000,983000,936000,698567
