,date,close,diff,open,high,low,volume
8825,2021-07-16,121500,2000,122000,122500,120500,2898638
8826,2021-07-15,123500,0,123500,124000,122500,1500981
8827,2021-07-14,123500,500,122500,124000,121500,2443087
8828,2021-07-13,123000,3000,121000,123500,121000,2879072
8829,2021-07-12,120000,500,121000,122000,119500,2477201
8830,2021-07-09,119500,2000,120500,120500,118000,4823577
8831,2021-07-08,121500,2000,123500,123500,121000,3165552
8832,2021-07-07,123500,1500,125000,125500,122500,2229140
8833,2021-07-06,125000,2000,124000,126000,123500,2067135
8834,2021-07-05,123000,500,123500,124500,122500,1632551
8815,2021-07-02,122500,2000,122500,123500,121500,3983921
8816,2021-07-01,124500,3000,127500,128000,124000,3336174
8817,2021-06-30,127500,2500,126500,129500,126000,4346027
8818,2021-06-29,125000,1000,127500,128000,125000,2211572
8819,2021-06-28,126000,2500,129000,129500,126000,2402730
8820,2021-06-25,128500,2500,128000,129000,127500,2531018
8821,2021-06-24,126000,2000,124000,126500,123500,2646407
8822,2021-06-23,124000,2000,122500,124500,122000,2703658
8823,2021-06-22,122000,0,122500,123500,122000,2179712
8824,2021-06-21,122000,2500,121000,123000,120500,3275288
8805,2021-06-18,124500,2000,127500,127500,124500,2506112
8806,2021-06-17,126500,3000,127000,128000,126000,2123793
8807,2021-06-16,129500,1000,128000,129500,127000,1893752
8808,2021-06-15,128500,1500,128500,129500,128000,1975082
8809,2021-06-14,127000,1000,127000,127500,125500,2022730
8810,2021-06-11,128000,5000,124500,128500,124000,4868608
8811,2021-06-10,123000,500,122500,124000,120500,4533076
8812,2021-06-09,122500,5000,125500,126000,122500,6087592
8813,2021-06-08,127500,1000,127000,127500,125000,4194955
8814,2021-06-07,128500,0,129500,130000,128000,2562918
8795,2021-06-04,128500,500,127500,129000,126500,2555891
8796,2021-06-03,129000,3000,127000,130000,126500,3353993
8797,2021-06-02,126000,2500,128500,129000,125500,2885654
8798,2021-06-01,128500,1500,127000,129000,126000,2819179
8799,2021-05-31,127000,2000,126000,127000,124000,2448074
8800,2021-05-28,125000,500,126500,126500,124000,2332971
8801,2021-05-27,125500,2500,124500,126000,123000,4539067
8802,2021-05-26,123000,0,124000,124500,122000,3015522
8803,2021-05-25,123000,3500,121500,123000,120500,3258364
8804,2021-05-24,119500,3000,122000,122500,119000,3188734
8785,2021-05-21,122500,0,124500,125500,121000,4062695
8786,2021-05-20,122500,1500,121000,124000,119500,4600751
8787,2021-05-18,121000,3500,117500,122000,117500,3470048
8788,2021-05-17,117500,1000,120000,120000,117000,3110127
8789,2021-05-14,118500,1000,118500,120000,118000,3227201
8790,2021-05-13,117500,2000,116000,118500,115500,6042025
8791,2021-05-12,119500,3500,123000,123500,119000,8272196
8792,2021-05-11,123000,7000,127000,127500,122000,9882491
8793,2021-05-10,130000,500,131000,131000,128500,3067077
8794,2021-05-07,129500,500,128000,131000,127000,3450323
8775,2021-05-06,129000,3000,130000,130500,128000,4211535
8776,2021-05-04,132000,500,130500,132000,129000,2547004
8777,2021-05-03,131500,3500,127500,132500,127000,4085398
8778,2021-04-30,128000,2000,130000,130500,126500,3955947
8779,2021-04-29,130000,0,132000,133000,129000,3738266
8780,2021-04-28,130000,5000,134500,135000,130000,5596760
8781,2021-04-27,135000,3500,133000,136000,132500,3394650
8782,2021-04-26,131500,1000,132500,132500,130500,2904879
8783,2021-04-23,132500,500,130500,132500,128500,4854412
8784,2021-04-22,133000,500,134500,135500,133000,3007457
8765,2021-04-21,132500,6000,138000,138000,132000,5120577
8766,2021-04-20,138500,500,136500,138500,136500,2167732
8767,2021-04-19,138000,500,138000,139000,137000,1906782
8768,2021-04-16,137500,0,138500,139000,137500,1982877
8769,2021-04-15,137500,500,136000,139000,136000,2291160
8770,2021-04-14,137000,2500,139000,139000,136500,2777203
8771,2021-04-13,139500,2000,136000,140000,135500,2876178
8772,2021-04-12,137500,2500,140500,140500,136000,3878457
8773,2021-04-09,140000,4000,144000,145000,139500,3276077
8774,2021-04-08,144000,500,143500,146000,142500,3774932
8755,2021-04-07,143500,500,146000,146000,142500,2424687
8756,2021-04-06,143000,0,147000,147000,141500,3753217
8757,2021-04-05,143000,2000,142000,144500,141000,2616440
8758,2021-04-02,141000,500,142000,143000,140000,3432245
8759,2021-04-01,140500,8000,138000,140500,136500,5833436
8760,2021-03-31,132500,2000,134500,135000,132000,3309680
8761,2021-03-30,134500,2500,133000,135500,132000,3304184
8762,2021-03-29,132000,3000,135500,135500,131500,3575226
8763,2021-03-26,135000,2000,134000,135000,132000,3835443
8764,2021-03-25,133000,500,133000,134500,130500,4157799
8745,2021-03-24,133500,1500,133000,134500,131500,3894080
8746,2021-03-23,135000,3000,139000,139500,134000,3839090
8747,2021-03-22,138000,0,138500,140000,137000,2727719
8748,2021-03-19,138000,4000,138000,139500,137000,4015627
8749,2021-03-18,142000,2000,142500,145000,141000,4426840
8750,2021-03-17,140000,500,141000,141000,138500,2588319
8751,2021-03-16,140500,4000,138500,140500,138000,3304561
8752,2021-03-15,136500,3500,141500,142000,136000,4289990
8753,2021-03-12,140000,3000,140500,142500,139500,4548695
8754,2021-03-11,137000,4000,134500,139000,134000,6707671
8735,2021-03-10,133000,3500,140500,140500,132500,5614476
8736,2021-03-09,136500,1000,134000,137500,130500,7822152
8737,2021-03-08,135500,4500,143000,143000,135500,5587787
8738,2021-03-05,140000,2000,138000,141500,136500,6091444
8739,2021-03-04,142000,5000,143000,145500,139500,6586562
8740,2021-03-03,147000,2500,142500,147000,139500,5827221
8741,2021-03-02,144500,3000,149000,150500,141000,9376523
8742,2021-02-26,141500,7000,143500,145000,138000,10843268
8743,2021-02-25,148500,12500,141000,149500,140000,9936495
8744,2021-02-24,136000,2500,137500,143500,134000,9074809
8725,2021-02-23,138500,2000,133500,140000,131500,6400037
8726,2021-02-22,136500,3500,136000,139500,135000,7961516
8727,2021-02-19,133000,7000,129000,133000,128500,6986526
8728,2021-02-18,126000,4000,128500,130000,125500,3792425
8729,2021-02-17,130000,2500,131000,131000,128000,3621178
8730,2021-02-16,132500,500,132500,134000,130500,3218689
8731,2021-02-15,132000,6000,130000,132500,130000,5384526
8732,2021-02-10,126000,500,125500,127000,124500,4262526
8733,2021-02-09,125500,500,127500,130000,125000,5177095
8734,2021-02-08,125000,2500,127500,128000,125000,2876471
8715,2021-02-05,127500,2500,126500,128000,124500,3497303
8716,2021-02-04,125000,5000,127500,128500,124000,4600618
8717,2021-02-03,130000,0,131000,131500,128500,3693688
8718,2021-02-02,130000,5000,128500,132500,127000,4880067
8719,2021-02-01,125000,2500,121000,126000,118000,5620305
8720,2021-01-29,122500,500,128500,128500,121500,7391307
8721,2021-01-28,123000,5500,124000,125500,121500,6270829
8722,2021-01-27,128500,500,129500,132000,127500,5068456
8723,2021-01-26,129000,6000,134000,134000,128500,6270106
8724,2021-01-25,135000,6500,130000,135000,129500,5061864
8705,2021-01-22,128500,3000,131500,132000,128500,3927767
8706,2021-01-21,131500,1000,131500,133000,130000,3067677
8707,2021-01-20,130500,0,134000,135000,130000,4913282
8708,2021-01-19,130500,500,131000,132000,128500,4513315
8709,2021-01-18,130000,2500,126000,131000,125000,5927419
8710,2021-01-15,127500,3000,133000,135000,127000,4838114
8711,2021-01-14,130500,2500,132500,133000,129000,5380278
8712,2021-01-13,133000,4000,129000,133500,128500,6791044
8713,2021-01-12,129000,4000,132000,133500,125500,8700877
8714,2021-01-11,133000,5000,138000,140000,131000,11154671
8695,2021-01-08,138000,3500,136000,138000,132500,8713010
8696,2021-01-07,134500,3500,132500,137500,131500,5981299
8697,2021-01-06,131000,500,132500,137000,130000,8525749
