,date,close,diff,open,high,low,volume
8870,2021-07-16,79800,800,80100,80100,79500,10782325
8871,2021-07-15,80600,1100,79800,80600,79500,13766279
8872,2021-07-14,79500,300,79400,79600,79100,11575636
8873,2021-07-13,79800,100,80000,80200,79800,9863450
8874,2021-07-12,79700,300,79900,80000,79500,9768108
8875,2021-07-09,79400,500,79600,79800,79000,22720577
8876,2021-07-08,79900,900,81100,81200,79900,16660998
8877,2021-07-07,80800,400,81200,81300,80300,15992202
8878,2021-07-06,81200,800,80600,81200,80500,12131651
8879,2021-07-05,80400,400,80100,80800,80000,8330969
8860,2021-07-02,80000,100,80000,80400,79900,8753097
8861,2021-07-01,80100,600,80500,80600,80000,13382882
8862,2021-06-30,80700,300,81100,81400,80700,13288643
8863,2021-06-29,81000,900,81900,82100,80800,15744317
8864,2021-06-28,81900,300,81700,82000,81600,11578529
8865,2021-06-25,81600,400,81500,81900,81200,13481405
8866,2021-06-24,81200,1100,80400,81400,80100,18771080
8867,2021-06-23,80100,100,80500,80600,79900,13856548
8868,2021-06-22,80000,100,80200,80300,79900,11773365
8869,2021-06-21,79900,600,79700,80000,79600,16063340
8850,2021-06-18,80500,400,81100,81100,80500,14916721
8851,2021-06-17,80900,900,81100,81300,80700,14007385
8852,2021-06-16,81800,900,81500,81900,81100,14999855
8853,2021-06-15,80900,400,80900,81200,80600,10075685
8854,2021-06-14,80500,500,80800,80900,80500,10550078
8855,2021-06-11,81000,0,81200,81700,80700,14087962
8856,2021-06-10,81000,100,81300,81400,80900,17586995
8857,2021-06-09,81100,800,81500,82000,81100,14908823
8858,2021-06-08,81900,0,82300,82600,81800,12781226
8859,2021-06-07,81900,300,82700,82800,81600,16496197
8840,2021-06-04,82200,600,82700,82700,81500,18112259
8841,2021-06-03,82800,2000,81300,83000,81100,29546007
8842,2021-06-02,80800,200,80400,81400,80300,16414644
8843,2021-06-01,80600,100,80500,81300,80100,14058401
8844,2021-05-31,80500,400,80300,80600,79600,13321324
8845,2021-05-28,80100,500,79800,80400,79400,12360199
8846,2021-05-27,79600,200,80000,80000,79100,23198510
8847,2021-05-26,79800,100,80400,80500,79700,11984359
8848,2021-05-25,79900,200,80000,80400,79800,13628942
8849,2021-05-24,79700,400,80100,80400,79500,13398666
8830,2021-05-21,80100,600,80100,81500,79800,20961714
8831,2021-05-20,79500,100,79400,79700,79100,16541828
8832,2021-05-18,79600,0,79600,80000,79100,17494407
8833,2021-05-17,79600,500,80800,80900,79200,17740855
8834,2021-05-14,80100,1600,79000,80300,78900,16450920
8835,2021-05-13,78500,1500,78900,79600,78400,31490096
8836,2021-05-12,80000,1200,80800,81200,79800,35812268
8837,2021-05-11,81200,2000,82500,82600,81100,28996680
8838,2021-05-10,83200,1300,82300,83500,81800,19385027
8839,2021-05-07,81900,400,81800,82100,81500,14154882
8820,2021-05-06,82300,300,81700,82300,81700,17047511
8821,2021-05-04,82600,900,81900,82600,81800,12532550
8822,2021-05-03,81700,200,81000,82400,81000,15710336
8823,2021-04-30,81500,200,81900,82100,81500,18673197
8824,2021-04-29,81700,400,82400,82500,81500,20000973
8825,2021-04-28,82100,800,83200,83200,82100,15596759
