date,silver,gold
20180523,16.53,1294
20180524,16.51,1296.35
20180525,16.67,1303.95
20180529,16.475,1302.05
20180530,16.37,1298.6
20180531,16.55,1303.5
20180601,16.42,1299.15
20180604,16.44,1294.65
20180605,16.385,1292.25
20180606,16.545,1295.25
20180607,16.745,1298.3
20180608,16.72,1299.2
20180611,16.76,1296.05
20180612,16.855,1298.3
20180613,16.905,1294.4
20180614,17.125,1305.3
20180615,17.225,1300.1
20180618,16.605,1281.25
20180619,16.355,1279
20180620,16.285,1273.25
20180621,16.245,1263.7
20180622,16.425,1269.7
20180625,16.375,1269.8
20180626,16.225,1257.15
20180627,16.21,1256.8
20180628,16.11,1250.5
20180629,16.03,1250.55
20180702,15.98,1249
20180703,15.93,1245.85
20180704,16.045,1256.9
20180705,15.95,1252.5
20180706,15.995,1254.2
20180709,16.205,1262.6
20180710,15.93,1253.7
20180711,15.915,1250
20180712,15.84,1244.85
20180713,15.81,1240.5
20180716,15.81,1244.9
20180717,15.77,1243.65
20180718,15.44,1223.45
20180719,15.26,1217.4
20180720,15.37,1224.85
20180723,15.485,1229.45
20180724,15.51,1224.3
20180725,15.565,1230.55
20180726,15.535,1228.35
20180727,15.355,1219.15
20180730,15.49,1222.05
20180731,15.43,1219.2
20180801,15.475,1222.75
20180802,15.45,1217.6
20180803,15.36,1207.7
20180806,15.345,1212
20180807,15.465,1215.4
20180808,15.345,1212.35
20180809,15.48,1215.5
20180810,15.375,1211.65
20180813,15.185,1204.4
20180814,15.035,1195.3
20180815,14.825,1186.7
20180816,14.605,1179.65
20180817,14.66,1176.7
20180820,14.755,1188.75
20180821,14.785,1194.1
20180822,14.81,1196.85
20180823,14.625,1187.3
20180824,14.62,1189.95
20180828,14.9,1212.75
20180829,14.69,1204.3
20180830,14.665,1202.35
20180831,14.655,1206.85
20180903,14.525,1201.7
20180904,14.25,1195.75
20180905,14.17,1194.7
20180906,14.265,1204.3
20180907,14.185,1200.75
20180910,14.215,1195.8
20180911,14.125,1194
20180912,14.155,1197.8
20180913,14.225,1206.65
20180914,14.215,1206.2
20180917,14.17,1196.8
20180918,14.21,1199.4
20180919,14.185,1203
20180920,14.23,1208.35
20180921,14.33,1207.6
20180924,14.315,1198.75
20180925,14.29,1199.45
20180926,14.475,1198.8
20180927,14.42,1196
20180928,14.305,1183.5
20181001,14.55,1185.3
20181002,14.505,1192.65
20181003,14.735,1203.5
20181004,14.63,1199.45
20181005,14.635,1201.1
20181008,14.465,1194.8
20181009,14.325,1187.4
20181010,14.375,1186.4
20181011,14.4,1201.1
20181012,14.6,1218.75
20181015,14.74,1233
20181016,14.755,1228.85
20181017,14.65,1226.75
20181018,14.61,1224.6
20181019,14.61,1228.25
20181022,14.63,1222.9
20181023,14.715,1235.6
20181024,14.745,1231.65
20181025,14.74,1232.15
20181026,14.69,1236.05
20181029,14.65,1230.75
20181030,14.425,1220
20181031,14.34,1217.7
20181101,14.45,1223.25
20181102,14.82,1235.5
20181105,14.735,1231.6
20181106,14.7,1234.85
20181107,14.67,1235.05
20181108,14.49,1223.45
20181109,14.34,1219.05
20181112,14.16,1207.05
20181113,14.02,1197.55
20181114,13.97,1201.45
20181115,14.13,1210.6
20181116,14.285,1215.8
20181119,14.36,1223.55
20181120,14.44,1223.1
20181121,14.42,1224
20181122,14.52,1228.25
20181123,14.255,1222.15
20181126,14.38,1226.65
20181127,14.275,1225.05
20181128,14.15,1213.2
20181129,14.265,1226.45
20181130,14.235,1220.45
20181203,14.385,1231.05
20181204,14.545,1239.25
20181205,14.48,1236.15
20181206,14.38,1236.45
20181207,14.485,1241.2
20181210,14.53,1246.8
20181211,14.64,1248.25
20181212,14.655,1244.75
20181213,14.68,1244.45
20181214,14.58,1239.15
20181217,14.6,1239.1
20181218,14.655,1248.8
20181219,14.645,1248.6
20181220,14.77,1255
20181221,14.69,1257.6
20181224,14.675,1261.25
20181227,15.055,1271.1
20181228,15.295,1277.25
20181231,15.465,1281.65
20190102,15.44,1287.2
20190103,15.535,1287.95
20190104,15.705,1290.35
20190107,15.75,1291.5
20190108,15.64,1283.9
20190109,15.62,1281.3
20190110,15.705,1292.4
20190111,15.68,1292.8
20190114,15.615,1293.7
20190115,15.6,1289.35
20190116,15.54,1290.5
20190117,15.575,1294
20190118,15.47,1285.05
20190121,15.26,1278.7
20190122,15.26,1284.75
20190123,15.385,1284.9
20190124,15.3,1279.75
20190125,15.375,1282.95
20190128,15.685,1301
20190129,15.855,1308.35
20190130,15.915,1312.95
20190131,16.075,1322.5
20190201,16.01,1320.75
20190204,15.745,1311
20190205,15.865,1314
20190206,15.73,1313.35
20190207,15.71,1306.6
20190208,15.78,1311.1
20190211,15.705,1306.75
20190212,15.81,1311.6
20190213,15.695,1311.15
20190214,15.58,1305.65
20190215,15.675,1318
20190218,15.765,1323.95
